Timestamp,What is your age limit?,What genres game do you like?,How long do you play games in average?,Please select your internet speed.,Can you please select the GPU that you are currently using?,"Can you please select an estimate of your monthly gaming cost(Including purchasing Game and Game Items , In app Purchase, And Net Bill)?",What is your preferred CPU model?,What do you seek in a game?,What is your RAM size?,Preference
10/8/2020 12:12:38,16-28,Action games.,6-8hours,30mbps,"RTX 2000 series (Could be 2080,2070,2060 including Ti and Super varients)",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",16GB,Very High
10/8/2020 12:17:21,16-28,Role-playing games.,6-8hours,5mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),AMD (Ryzen),Story,16GB,High
10/8/2020 12:19:47,16-28,Action games.,4-5hours,20mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",8GB,High
10/8/2020 12:25:30,16-28,Action-adventure games.,2-3hours,10mbps,Lower,500-2k (BDT),Intel,Story,8GB,Low
10/8/2020 12:25:35,16-28,Action games.,2-3hours,10mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",8GB,Medium
10/8/2020 12:25:46,16-28,Strategy games.,2-3hours,200mbps,"GTX 900 series (Could be 980,970,960, 950 including Ti )","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Story,8GB,Medium
10/8/2020 12:26:15,16-28,Role-playing games.,1-1.5 hours,5mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)",500-2k (BDT),AMD (Ryzen),Story,8GB,Medium
10/8/2020 12:27:22,16-28,Role-playing games.,4-5hours,5mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Story,8GB,Low
10/8/2020 12:38:30,16-28,Strategy games.,2-3hours,10mbps,"RX500 series (Could be 590,580,570,560,550)",500-2k (BDT),AMD (Ryzen),Way to pass time,16GB,Medium
10/8/2020 12:41:46,16-28,Role-playing games.,30-50min,5mbps,"GTX 1000 series (Could be 1080,1070,1060, 1050,1030 including Ti and Super varient)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Graphics (With or without Ray tracing on),8GB,Medium
10/8/2020 12:42:49,16-28,Role-playing games.,9+ Hours,5mbps,Lower,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),Graphics (With or without Ray tracing on),16GB,Low
10/8/2020 12:44:23,16-28,Strategy games.,2-3hours,10mbps,Lower,500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",4GB,Low
10/8/2020 13:03:43,16-28,Action-adventure games.,1-1.5 hours,20mbps,AMD Vega series GPU,"I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",16GB,Medium
10/8/2020 13:04:53,16-28,Action-adventure games.,4-5hours,5mbps,"RX500 series (Could be 590,580,570,560,550)",500-2k (BDT),Intel,Story,8GB,Medium
10/8/2020 13:17:28,16-28,Action games.,2-3hours,10mbps,"RX400 series (Could be 480,470,460,450)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Graphics (With or without Ray tracing on),16GB,Medium
10/8/2020 13:30:45,16-28,Role-playing games.,9+ Hours,5mbps,"RX400 series (Could be 480,470,460,450)","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Way to pass time,8GB,Medium
10/8/2020 13:34:25,16-28,Simulation games.,2-3hours,40mbps,"RX400 series (Could be 480,470,460,450)",3-6k (BDT),AMD (Ryzen),Way to pass time,8GB,Medium
10/8/2020 13:38:55,16-28,Action-adventure games.,6-8hours,10mbps,"GTX 900 series (Could be 980,970,960, 950 including Ti )","I play cracked Games (Could be Fitgirl, Codex, RG-Mechanics, Black Box, Skidrow, Reloaded etc)",Intel,Way to pass time,8GB,Medium
10/8/2020 13:41:01,16-28,Sports games.,6-8hours,10mbps,"GTX 1600 series (Could be 1660,1650 including Ti and Super varients)",500-2k (BDT),AMD (Ryzen),Story,16GB,High
10/8/2020 13:42:41,16-28,Action-adventure games.,2-3hours,40mbps,Lower,500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",4GB,Low
10/8/2020 13:48:31,16-28,Action games.,2-3hours,50mbps,"RX500 series (Could be 590,580,570,560,550)",500-2k (BDT),AMD (Ryzen),"Thrill (Online games mostly FPS,TPS)",16GB,Medium
10/8/2020 14:08:44,16-28,Action games.,6-8hours,15mbps,"RTX 2000 series (Could be 2080,2070,2060 including Ti and Super varients)",500-2k (BDT),Intel,"Thrill (Online games mostly FPS,TPS)",16GB,Very High
